District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,End of School Year
Acton-Boxborough,6000000,     405.3,100.0,  12.8 to 1,84.2,95.4,98.3,2021
Acushnet,30000,      68.2,100.0,  13.3 to 1,90.1,95.2,95.8,2021
Advanced Math and Science Academy Charter (District),4300000,      79.4,92.2,  12.2 to 1,84.8,77.1,78.8,2021
Agawam,50000,     305.9,100.0,  11.5 to 1,93.3,97.0,96.3,2021
Alma del Mar Charter School (District),4090000,      63.0,77.8,  12.7 to 1,30.2,87.3,41.3,2021
Amesbury,70000,     159.3,99.4,  11.6 to 1,87.4,95.0,98.8,2021
Amherst,80000,     115.8,100.0,   8.9 to 1,90.5,96.5,99.2,2021
Amherst-Pelham,6050000,     115.5,99.3,  11.1 to 1,90.8,96.5,93.1,2021
Andover,90000,     483.5,99.8,  11.5 to 1,91.9,98.3,97.3,2021
Argosy Collegiate Charter School (District),35090000,      40.2,58.8,  14.2 to 1,26.2,86.1,56.9,2021
Arlington,100000,     465.8,99.4,  12.4 to 1,78.9,94.1,97.2,2021
Ashburnham-Westminster,6100000,     161.1,100.0,  13.6 to 1,85.7,94.6,97.0,2021
Ashland,140000,     207.2,100.0,  13.2 to 1,85.2,98.2,96.7,2021
Assabet Valley Regional Vocational Technical,8010000,     103.0,97.1,  11.2 to 1,93.2,95.1,93.2,2021
Athol-Royalston,6150000,     115.5,100.0,  12.3 to 1,71.4,90.5,96.6,2021
Atlantis Charter (District),4910000,      98.8,79.3,  13.1 to 1,62.2,86.0,74.5,2021
Attleboro,160000,     388.6,99.7,  14.8 to 1,84.0,95.1,97.3,2021
Auburn,170000,     179.0,100.0,  14.1 to 1,92.2,96.8,93.9,2021
Avon,180000,      64.2,100.0,  10.6 to 1,87.5,95.3,98.5,2021
Ayer Shirley School District,6160000,     139.2,99.2,  11.5 to 1,81.7,96.0,97.2,2021
Barnstable,200000,     408.5,98.8,  11.5 to 1,83.1,93.9,95.4,2021
Baystate Academy Charter Public School (District),35020000,      54.6,61.3,   8.6 to 1,40.8,79.9,38.3,2021
Bedford,230000,     236.6,98.7,  11.1 to 1,88.2,96.9,98.1,2021
Belchertown,240000,     167.4,99.4,  12.8 to 1,94.9,99.3,94.4,2021
Bellingham,250000,     164.2,100.0,  12.1 to 1,85.6,97.3,98.2,2021
Belmont,260000,     279.4,100.0,  15.8 to 1,90.6,97.9,99.3,2021
Benjamin Banneker Charter Public (District),4200000,      21.5,88.4,  16.0 to 1,60.5,86.0,85.7,2021
Benjamin Franklin Classical Charter Public (District),4470000,      59.0,84.7,  13.2 to 1,56.8,92.4,81.0,2021
Berkley,270000,      64.7,100.0,  13.3 to 1,83.0,92.3,97.0,2021
Berkshire Arts and Technology Charter Public (District),4140000,      37.6,56.6,   9.9 to 1,75.7,83.0,36.4,2021
Berkshire Hills,6180000,     111.0,100.0,  10.5 to 1,86.5,92.0,96.5,2021
Berlin-Boylston,6200000,      90.7,98.9,  11.5 to 1,85.9,93.9,96.0,2021
Beverly,300000,     338.7,99.8,  13.7 to 1,86.7,95.3,95.8,2021
Billerica,310000,     366.4,100.0,  12.5 to 1,88.7,93.2,94.9,2021
Blackstone Valley Regional Vocational Technical,8050000,     102.3,99.0,  12.0 to 1,86.3,84.4,95.2,2021
Blackstone-Millville,6220000,     108.3,99.1,  14.5 to 1,77.6,92.8,95.8,2021
Blue Hills Regional Vocational Technical,8060000,      78.6,98.7,  11.3 to 1,93.6,89.8,100.0,2021
Boston,350000,"   4,595.5",94.7,  10.5 to 1,80.7,93.1,89.8,2021
Boston Collegiate Charter (District),4490000,      69.3,80.5,  10.4 to 1,63.7,82.4,76.7,2021
Boston Day and Evening Academy Charter (District),4240000,      26.0,93.1,  13.7 to 1,83.1,100.0,75.0,2021
Boston Green Academy Horace Mann Charter School (District),4110000,      57.5,83.8,   8.8 to 1,59.5,90.6,67.2,2021
Boston Preparatory Charter Public (District),4160000,      57.8,81.8,  11.6 to 1,36.4,82.3,65.6,2021
Boston Renaissance Charter Public (District),4810000,      84.0,98.8,  11.2 to 1,61.9,86.9,91.8,2021
Bourne,360000,     139.8,99.3,  11.8 to 1,88.3,95.0,94.2,2021
Boxford,380000,      65.1,100.0,  10.4 to 1,74.8,97.5,100.0,2021
Braintree,400000,     434.2,100.0,  12.6 to 1,87.8,96.2,98.2,2021
Brewster,410000,      47.0,100.0,   8.9 to 1,83.0,90.4,100.0,2021
Bridge Boston Charter School (District),4170000,      36.4,78.3,   9.3 to 1,39.1,91.1,61.4,2021
Bridgewater-Raynham,6250000,     331.8,100.0,  15.9 to 1,90.8,98.2,98.8,2021
Brimfield,430000,      24.9,100.0,  10.8 to 1,92.0,96.0,96.3,2021
Bristol County Agricultural,9100000,      35.2,100.0,  12.7 to 1,88.6,88.6,92.1,2021
Bristol-Plymouth Regional Vocational Technical,8100000,      99.2,97.0,  13.3 to 1,89.4,91.9,95.1,2021
Brockton,440000,     986.2,99.3,  15.6 to 1,87.7,95.2,94.8,2021
Brooke Charter School (District),4280000,     170.4,58.7,  12.1 to 1,51.1,88.7,36.5,2021
Brookfield,450000,      22.1,100.0,  12.0 to 1,95.5,100.0,95.8,2021
Brookline,460000,     674.6,98.7,  10.2 to 1,84.3,94.8,96.0,2021
Burlington,480000,     315.4,99.5,  10.7 to 1,90.9,97.0,95.3,2021
Cambridge,490000,     769.3,97.7,   8.7 to 1,81.5,91.0,93.5,2021
Canton,500000,     246.2,99.6,  12.9 to 1,86.8,94.3,98.1,2021
Cape Cod Lighthouse Charter (District),4320000,      23.7,91.1,  10.6 to 1,94.5,74.3,51.5,2021
Cape Cod Regional Vocational Technical,8150000,      58.6,94.9,  10.7 to 1,79.9,76.6,84.1,2021
Carlisle,510000,      57.4,100.0,  10.1 to 1,89.5,96.9,98.3,2021
Carver,520000,     128.8,99.4,  11.5 to 1,88.5,94.6,97.0,2021
Central Berkshire,6350000,     115.0,100.0,  13.2 to 1,92.1,95.6,97.5,2021
Chelmsford,560000,     376.9,99.2,  12.8 to 1,86.5,96.6,95.4,2021
Chelsea,570000,     417.2,98.4,  14.2 to 1,65.2,89.2,93.0,2021
Chesterfield-Goshen,6320000,      13.0,100.0,   7.8 to 1,92.3,92.3,94.4,2021
Chicopee,610000,     586.6,99.8,  11.7 to 1,88.4,95.1,98.7,2021
Christa McAuliffe Charter Public (District),4180000,      38.3,79.1,  10.4 to 1,62.1,90.8,64.3,2021
City on a Hill Charter Public School Circuit Street (District),4370000,      23.0,61.3,  13.0 to 1,28.7,89.6,56.7,2021
Clarksburg,630000,      14.4,94.4,  13.2 to 1,83.3,100.0,88.2,2021
Clinton,640000,     149.6,100.0,  12.2 to 1,83.1,92.8,96.8,2021
Codman Academy Charter Public (District),4380000,      45.5,61.6,   7.7 to 1,50.6,82.4,44.4,2021
Cohasset,650000,     119.2,99.2,  12.1 to 1,88.1,95.8,93.0,2021
Collegiate Charter School of Lowell (District),35030000,      47.1,64.5,  21.6 to 1,31.9,83.4,63.3,2021
Community Charter School of Cambridge (District),4360000,      32.9,82.2,   9.2 to 1,45.3,86.0,50.0,2021
Community Day Charter Public School - Gateway (District),4260000,      43.0,76.8,   9.3 to 1,32.6,86.1,51.2,2021
Community Day Charter Public School - Prospect (District),4400000,      43.0,79.1,   9.3 to 1,58.1,83.7,55.8,2021
Community Day Charter Public School - R. Kingman Webster (District),4310000,      40.5,83.9,   9.9 to 1,39.5,87.7,63.6,2021
Concord,670000,     170.8,100.0,  11.7 to 1,89.7,99.1,98.9,2021
Concord-Carlisle,6400000,     100.4,99.9,  13.1 to 1,91.4,92.0,93.3,2021
Conservatory Lab Charter (District),4390000,      29.0,81.0,  15.8 to 1,55.2,89.7,60.0,2021
Conway,680000,      13.7,100.0,   9.1 to 1,92.7,100.0,100.0,2021
Danvers,710000,     252.4,99.9,  13.1 to 1,87.1,96.6,94.3,2021
Dartmouth,720000,     269.5,99.8,  12.7 to 1,91.1,96.7,96.6,2021
Dedham,730000,     229.6,99.6,  11.1 to 1,86.2,96.1,97.6,2021
Deerfield,740000,      37.0,94.6,   8.4 to 1,91.9,94.6,97.2,2021
Dennis-Yarmouth,6450000,     271.1,99.6,  10.1 to 1,89.9,95.8,98.3,2021
Dighton-Rehoboth,6500000,     212.8,98.6,  12.3 to 1,90.1,96.7,95.6,2021
Douglas,770000,      97.3,100.0,  11.8 to 1,82.0,89.7,97.2,2021
Dover,780000,      39.1,100.0,  12.2 to 1,89.7,92.8,97.9,2021
Dover-Sherborn,6550000,     105.1,100.0,  11.3 to 1,89.6,94.8,98.2,2021
Dracut,790000,     232.7,100.0,  15.7 to 1,77.8,93.6,98.8,2021
Dudley Street Neighborhood Charter School (District),4070000,      10.3,80.5,  28.7 to 1,61.0,90.2,85.7,2021
Dudley-Charlton Reg,6580000,     270.8,100.0,  12.7 to 1,90.3,95.2,96.9,2021
Duxbury,820000,     220.3,99.5,  12.7 to 1,84.1,95.9,96.1,2021
East Bridgewater,830000,     152.7,100.0,  13.6 to 1,78.1,95.4,99.4,2021
East Longmeadow,870000,     206.0,100.0,  11.7 to 1,94.6,99.0,99.1,2021
Eastham,850000,      22.6,91.2,   8.6 to 1,78.7,100.0,93.1,2021
Easthampton,860000,     115.7,100.0,  12.5 to 1,91.4,94.0,99.2,2021
Easton,880000,     247.3,100.0,  13.8 to 1,93.7,98.0,98.8,2021
Edgartown,890000,      43.6,97.7,   8.8 to 1,78.1,95.4,96.6,2021
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,      36.3,98.6,  10.6 to 1,85.7,91.7,89.5,2021
Erving,910000,      17.2,100.0,   6.6 to 1,94.2,100.0,100.0,2021
Essex North Shore Agricultural and Technical School District,8170000,     131.3,95.3,  11.9 to 1,78.0,81.0,92.3,2021
Everett,930000,     561.7,99.8,  12.3 to 1,82.9,89.9,97.9,2021
Excel Academy Charter (District),4100000,     115.2,73.0,  12.1 to 1,42.9,89.4,44.3,2021
Fairhaven,940000,     129.9,100.0,  14.8 to 1,92.0,98.9,97.0,2021
Fall River,950000,     769.6,99.0,  13.0 to 1,74.4,86.3,92.5,2021
Falmouth,960000,     292.7,99.3,  10.3 to 1,85.7,94.7,98.7,2021
Farmington River Reg,6620000,      12.8,100.0,   8.4 to 1,95.3,100.0,100.0,2021
Fitchburg,970000,     373.2,100.0,  13.7 to 1,83.9,91.6,96.7,2021
Florida,980000,      10.8,90.7,   7.4 to 1,90.7,96.3,91.7,2021
Four Rivers Charter Public (District),4130000,      21.3,76.3,  10.1 to 1,75.6,93.1,56.3,2021
Foxborough,990000,     200.2,99.5,  12.2 to 1,89.7,97.9,95.7,2021
Foxborough Regional Charter (District),4460000,     132.9,90.0,  12.9 to 1,64.2,79.3,87.1,2021
Framingham,1000000,     733.2,96.6,  11.9 to 1,78.4,94.2,90.3,2021
Francis W. Parker Charter Essential (District),4780000,      46.0,62.3,   8.7 to 1,60.8,100.0,64.7,2021
Franklin,1010000,     388.7,100.0,  12.4 to 1,87.9,96.9,97.9,2021
Franklin County Regional Vocational Technical,8180000,      53.6,90.7,  10.4 to 1,82.1,87.7,83.3,2021
Freetown-Lakeville,6650000,     198.8,100.0,  13.6 to 1,85.8,94.5,99.0,2021
Frontier,6700000,      52.6,99.2,  12.3 to 1,91.1,96.2,89.8,2021
Gardner,1030000,     177.6,99.7,  12.4 to 1,82.6,89.3,96.2,2021
Gateway,6720000,      75.2,97.2,  10.0 to 1,93.2,97.3,86.9,2021
Georgetown,1050000,     102.4,100.0,  11.9 to 1,89.0,95.2,98.1,2021
Gill-Montague,6740000,      80.1,100.0,  10.6 to 1,89.7,94.0,95.7,2021
Global Learning Charter Public (District),4960000,      44.4,97.7,  11.3 to 1,79.6,86.5,95.8,2021
Gloucester,1070000,     267.4,98.1,  10.3 to 1,80.9,93.3,96.7,2021
Gosnold,1090000,       0.7,100.0,   5.9 to 1,100.0,100.0,0.0,2021
Grafton,1100000,     251.9,99.6,  12.4 to 1,84.4,94.6,97.2,2021
Granby,1110000,      62.7,98.4,  11.4 to 1,91.2,98.4,91.0,2021
Greater Fall River Regional Vocational Technical,8210000,     125.2,98.4,  11.6 to 1,90.0,88.0,92.5,2021
Greater Lawrence Regional Vocational Technical,8230000,     117.5,96.0,  13.9 to 1,84.5,82.3,88.8,2021
Greater Lowell Regional Vocational Technical,8280000,     193.1,99.2,  11.9 to 1,88.3,86.8,97.4,2021
Greater New Bedford Regional Vocational Technical,8250000,     170.7,99.4,  12.4 to 1,94.7,94.9,94.3,2021
Greenfield,1140000,     140.6,97.2,  11.0 to 1,77.6,93.3,91.5,2021
Greenfield Commonwealth Virtual District,39010000,      58.8,100.0,  16.0 to 1,79.5,89.8,92.4,2021
Groton-Dunstable,6730000,     191.1,100.0,  11.8 to 1,86.0,96.2,96.5,2021
Hadley,1170000,      44.0,100.0,  11.5 to 1,84.0,93.2,95.7,2021
Halifax,1180000,      36.0,100.0,  15.8 to 1,91.7,100.0,97.4,2021
Hamilton-Wenham,6750000,     135.8,100.0,  12.4 to 1,93.4,98.1,97.4,2021
Hampden Charter School of Science East (District),4990000,      45.5,73.6,  11.9 to 1,69.2,70.3,71.4,2021
Hampden Charter School of Science West (District),35160000,      32.0,78.1,  10.0 to 1,40.6,56.2,73.0,2021
Hampden-Wilbraham,6800000,     221.7,99.7,  12.9 to 1,86.7,97.8,98.7,2021
Hampshire,6830000,      72.6,100.0,   9.4 to 1,89.3,97.2,98.6,2021
Hancock,1210000,       7.4,94.6,   7.7 to 1,83.8,86.5,66.7,2021
Hanover,1220000,     198.7,99.5,  13.2 to 1,88.4,96.5,96.3,2021
Harvard,1250000,      92.0,98.9,  10.9 to 1,91.3,96.7,95.7,2021
Hatfield,1270000,      40.3,100.0,   9.9 to 1,94.8,92.6,97.7,2021
Haverhill,1280000,     594.2,99.5,  13.1 to 1,81.4,93.2,97.4,2021
Hawlemont,6850000,      10.3,100.0,  11.5 to 1,80.6,81.6,81.8,2021
Helen Y. Davis Leadership Academy Charter Public (District),4190000,      19.0,31.6,  10.2 to 1,15.8,89.5,55.6,2021
Hill View Montessori Charter Public (District),4550000,      24.0,79.2,  12.6 to 1,66.7,87.5,66.7,2021
Hilltown Cooperative Charter Public (District),4500000,      20.0,90.5,  10.9 to 1,77.4,100.0,68.2,2021
Hingham,1310000,     299.3,99.0,  13.0 to 1,91.3,98.3,96.5,2021
Holbrook,1330000,      96.7,100.0,  13.1 to 1,81.9,93.4,98.1,2021
Holland,1350000,      17.9,97.8,  10.8 to 1,86.6,94.4,94.7,2021
Holliston,1360000,     208.6,99.2,  13.2 to 1,88.8,95.4,96.8,2021
Holyoke,1370000,     407.3,93.9,  12.7 to 1,57.6,88.6,87.9,2021
Holyoke Community Charter (District),4530000,      42.5,81.2,  16.5 to 1,67.1,90.6,67.4,2021
Hoosac Valley Regional,6030000,      91.4,96.7,  11.3 to 1,85.8,93.4,89.4,2021
Hopedale,1380000,      92.6,98.9,  11.9 to 1,78.8,94.2,96.9,2021
Hopkinton,1390000,     278.6,99.6,  14.1 to 1,87.7,95.7,95.8,2021
Hudson,1410000,     233.0,97.9,  10.4 to 1,87.6,96.7,96.7,2021
Hull,1420000,      79.5,100.0,  10.1 to 1,88.4,93.7,96.3,2021
Innovation Academy Charter (District),4350000,      65.3,90.8,  12.1 to 1,74.7,83.4,82.7,2021
Ipswich,1440000,     154.1,99.5,  10.3 to 1,89.8,96.2,95.1,2021
KIPP Academy Boston Charter School (District),4630000,      44.7,69.6,  13.7 to 1,37.0,79.9,33.3,2021
KIPP Academy Lynn Charter (District),4290000,     107.0,64.8,  15.1 to 1,40.4,85.1,40.3,2021
King Philip,6900000,     132.9,100.0,  14.6 to 1,82.7,95.3,97.1,2021
Kingston,1450000,      64.0,100.0,  16.2 to 1,92.2,100.0,100.0,2021
Lawrence,1490000,"   1,123.3",96.3,  11.4 to 1,70.4,86.2,92.1,2021
Lawrence Family Development Charter (District),4540000,      62.0,96.8,  12.7 to 1,59.7,93.5,90.9,2021
Learning First Charter Public School (District),4860000,      39.0,92.3,  17.1 to 1,56.4,76.9,86.8,2021
Lee,1500000,      73.5,100.0,   9.3 to 1,91.6,93.2,92.1,2021
Leicester,1510000,     100.9,100.0,  13.6 to 1,94.3,98.0,95.6,2021
Lenox,1520000,      78.4,100.0,   9.6 to 1,96.0,98.5,90.7,2021
Leominster,1530000,     378.3,99.7,  15.5 to 1,93.1,96.1,93.6,2021
Leverett,1540000,      14.9,100.0,   7.8 to 1,86.9,93.3,100.0,2021
Lexington,1550000,     621.4,99.7,  11.1 to 1,85.3,96.6,96.0,2021
Libertas Academy Charter School (District),35140000,      28.0,71.4,   9.3 to 1,10.7,100.0,73.3,2021
Lincoln,1570000,     126.2,98.8,   8.3 to 1,86.6,98.1,94.0,2021
Lincoln-Sudbury,6950000,     125.8,99.4,  12.1 to 1,93.3,94.0,97.2,2021
Littleton,1580000,     117.3,99.1,  13.2 to 1,79.5,93.2,96.1,2021
Longmeadow,1590000,     246.9,99.2,  11.1 to 1,87.0,98.6,94.9,2021
Lowell,1600000,"   1,092.0",98.1,  12.8 to 1,87.4,91.5,92.4,2021
Lowell Community Charter Public (District),4560000,      64.7,100.0,  12.4 to 1,68.7,87.6,98.5,2021
Lowell Middlesex Academy Charter (District),4580000,       7.0,100.0,  12.6 to 1,85.7,57.1,42.9,2021
Ludlow,1610000,     219.9,99.1,  10.8 to 1,92.2,97.3,95.7,2021
Lunenburg,1620000,     108.7,100.0,  14.7 to 1,91.0,99.1,92.6,2021
Lynn,1630000,"   1,152.1",99.0,  13.5 to 1,81.2,90.5,97.1,2021
Lynnfield,1640000,     158.6,100.0,  13.7 to 1,87.1,98.1,98.3,2021
MATCH Charter Public School (District),4690000,     113.5,78.1,  10.7 to 1,38.4,88.8,54.6,2021
Ma Academy for Math and Science,4680000,       6.0,100.0,  16.3 to 1,83.3,83.3,100.0,2021
Malden,1650000,     473.5,99.8,  12.9 to 1,83.3,93.2,98.0,2021
Manchester Essex Regional,6980000,     129.6,98.5,   9.8 to 1,86.4,94.7,99.2,2021
Mansfield,1670000,     296.0,100.0,  11.8 to 1,89.8,98.1,99.7,2021
Map Academy Charter School (District),35170000,      19.0,97.4,  10.9 to 1,31.5,65.8,83.3,2021
Marblehead,1680000,     256.7,99.6,  10.5 to 1,89.9,95.7,97.4,2021
Marblehead Community Charter Public (District),4640000,      21.3,85.9,   9.8 to 1,72.9,82.4,77.3,2021
Marion,1690000,      32.7,100.0,  12.1 to 1,90.8,100.0,100.0,2021
Marlborough,1700000,     396.1,100.0,  11.8 to 1,86.4,97.2,97.5,2021
Marshfield,1710000,     333.4,100.0,  11.3 to 1,86.2,95.1,97.5,2021
Martha's Vineyard,7000000,      74.6,100.0,   9.2 to 1,88.5,86.2,94.9,2021
Martha's Vineyard Charter (District),4660000,      18.5,78.4,   9.5 to 1,78.4,82.9,80.0,2021
Martin Luther King Jr. Charter School of Excellence (District),4920000,      40.5,88.9,   9.0 to 1,49.4,82.7,73.8,2021
Masconomet,7050000,     128.6,100.0,  13.1 to 1,95.6,95.0,97.8,2021
Mashpee,1720000,     143.3,100.0,  10.2 to 1,87.4,93.0,94.0,2021
Mattapoisett,1730000,      37.8,100.0,  10.7 to 1,92.1,96.6,100.0,2021
Maynard,1740000,     106.9,95.3,  11.0 to 1,90.7,96.3,86.5,2021
Medfield,1750000,     200.6,98.5,  12.5 to 1,89.1,95.8,94.1,2021
Medford,1760000,     383.8,99.1,  10.3 to 1,86.3,94.7,94.9,2021
Medway,1770000,     169.3,100.0,  12.3 to 1,83.0,94.7,96.7,2021
Melrose,1780000,     279.1,100.0,  13.3 to 1,82.5,95.0,97.6,2021
Mendon-Upton,7100000,     156.5,98.1,  13.8 to 1,88.1,98.2,91.0,2021
Methuen,1810000,     490.0,98.8,  13.2 to 1,83.6,93.4,95.9,2021
Middleborough,1820000,     227.4,100.0,  12.8 to 1,88.6,97.4,97.8,2021
Middleton,1840000,      67.8,99.9,  10.0 to 1,80.7,98.5,97.2,2021
Milford,1850000,     338.1,99.4,  12.5 to 1,87.3,96.5,98.0,2021
Millbury,1860000,     134.4,100.0,  11.8 to 1,87.4,93.3,97.8,2021
Millis,1870000,      97.9,99.2,  11.8 to 1,92.8,98.2,93.3,2021
Milton,1890000,     317.5,99.4,  13.7 to 1,86.5,93.5,95.8,2021
Minuteman Regional Vocational Technical,8300000,      76.5,96.1,   8.3 to 1,90.2,90.8,93.8,2021
Mohawk Trail,7170000,      69.4,98.6,  10.7 to 1,83.1,98.0,88.5,2021
Monomoy Regional School District,7120000,     167.5,98.7,  10.5 to 1,86.0,92.2,95.1,2021
Monson,1910000,      79.7,98.7,  10.8 to 1,81.7,90.0,94.4,2021
Montachusett Regional Vocational Technical,8320000,     105.0,100.0,  13.5 to 1,91.4,89.5,92.8,2021
Mount Greylock,7150000,     111.6,100.0,   9.8 to 1,82.1,90.3,96.6,2021
Mystic Valley Regional Charter (District),4700000,     103.7,52.8,  15.7 to 1,30.8,84.6,33.3,2021
Nahant,1960000,      11.4,98.3,  12.9 to 1,52.8,87.8,80.0,2021
Nantucket,1970000,     154.3,98.6,  10.8 to 1,76.3,90.7,96.3,2021
Narragansett,7200000,      98.9,99.0,  13.4 to 1,84.8,89.9,94.2,2021
Nashoba,7250000,     265.4,99.2,  11.6 to 1,86.7,96.4,96.0,2021
Nashoba Valley Regional Vocational Technical,8520000,      64.2,98.4,  11.3 to 1,85.6,76.7,94.0,2021
Natick,1980000,     436.8,98.8,  12.0 to 1,85.6,95.1,94.2,2021
Nauset,6600000,     132.8,99.6,  10.7 to 1,91.7,96.8,95.7,2021
Needham,1990000,     421.4,100.0,  13.0 to 1,88.3,97.3,97.9,2021
Neighborhood House Charter (District),4440000,      74.4,56.5,  10.9 to 1,27.4,87.9,49.4,2021
New Bedford,2010000,     991.2,97.8,  12.7 to 1,74.8,90.1,95.9,2021
New Heights Charter School of Brockton (District),35130000,      51.2,91.2,  14.5 to 1,36.0,72.7,92.6,2021
New Salem-Wendell,7280000,      12.5,100.0,  10.3 to 1,80.8,92.0,100.0,2021
Newburyport,2040000,     190.7,99.3,  11.1 to 1,87.9,96.0,95.6,2021
Newton,2070000,"   1,091.0",98.5,  11.0 to 1,87.0,96.7,97.2,2021
Norfolk,2080000,      80.2,100.0,  12.3 to 1,88.9,98.8,98.8,2021
Norfolk County Agricultural,9150000,      56.1,96.4,  10.5 to 1,87.3,93.4,94.8,2021
North Adams,2090000,     121.5,100.0,  10.1 to 1,78.7,92.6,92.2,2021
North Andover,2110000,     322.6,98.9,  14.0 to 1,85.9,96.5,93.9,2021
North Attleborough,2120000,     291.7,100.0,  13.5 to 1,82.6,93.5,97.0,2021
North Brookfield,2150000,      41.2,100.0,  12.2 to 1,79.4,97.6,97.9,2021
North Middlesex,7350000,     242.6,99.8,  11.9 to 1,88.2,98.8,99.2,2021
North Reading,2170000,     211.1,100.0,  10.9 to 1,89.2,96.8,98.6,2021
Northampton,2100000,     234.3,99.4,  11.0 to 1,88.7,94.9,98.0,2021
Northampton-Smith Vocational Agricultural,4060000,      57.0,94.7,   9.3 to 1,77.2,78.9,98.3,2021
Northboro-Southboro,7300000,     113.3,100.0,  12.0 to 1,91.3,98.1,96.6,2021
Northborough,2130000,     138.0,99.3,  11.1 to 1,89.5,98.3,94.8,2021
Northbridge,2140000,     163.4,100.0,  11.8 to 1,89.0,93.9,99.4,2021
Northeast Metropolitan Regional Vocational Technical,8530000,     116.3,88.0,  11.0 to 1,81.2,87.8,91.0,2021
Northern Berkshire Regional Vocational Technical,8510000,      42.5,92.9,  11.9 to 1,92.9,90.6,93.0,2021
Norton,2180000,     184.8,100.0,  12.8 to 1,85.7,96.2,98.0,2021
Norwell,2190000,     160.8,100.0,  13.6 to 1,92.5,96.3,100.0,2021
Norwood,2200000,     299.6,99.3,  11.3 to 1,87.0,95.8,98.4,2021
Oak Bluffs,2210000,      46.9,100.0,   8.8 to 1,88.3,94.5,96.6,2021
Old Colony Regional Vocational Technical,8550000,      60.0,98.3,   9.4 to 1,83.3,76.7,96.7,2021
Old Rochester,7400000,      90.6,100.0,  12.5 to 1,91.2,98.9,93.9,2021
Old Sturbridge Academy Charter Public School (District),35150000,      20.0,90.0,  14.0 to 1,60.0,90.0,85.0,2021
Orange,2230000,      39.8,97.5,  11.7 to 1,77.8,90.0,97.7,2021
Orleans,2240000,      20.0,100.0,   8.7 to 1,85.0,95.0,92.9,2021
Oxford,2260000,     116.3,98.4,  12.5 to 1,88.0,94.8,95.2,2021
Palmer,2270000,     111.0,99.1,  10.7 to 1,89.9,94.0,95.9,2021
Pathfinder Regional Vocational Technical,8600000,      68.5,98.5,   8.9 to 1,82.5,81.0,98.6,2021
Paulo Freire Social Justice Charter School (District),35010000,      21.2,84.9,  12.4 to 1,71.7,62.3,73.9,2021
Peabody,2290000,     428.2,99.1,  13.5 to 1,88.6,95.6,94.6,2021
Pelham,2300000,      12.2,100.0,   8.8 to 1,78.7,90.2,100.0,2021
Pembroke,2310000,     186.0,98.9,  14.0 to 1,91.1,96.2,96.0,2021
Pentucket,7450000,     181.2,99.4,  12.3 to 1,88.6,98.3,98.4,2021
Petersham,2340000,      13.0,84.6,   9.5 to 1,76.9,100.0,75.0,2021
Phoenix Academy Public Charter High School Lawrence (District),35180000,      10.0,100.0,  15.9 to 1,50.0,70.0,50.0,2021
Phoenix Academy Public Charter High School Springfield (District),35080000,       7.6,86.8,  27.4 to 1,23.7,88.2,44.4,2021
Phoenix Charter Academy (District),4930000,      13.7,96.3,  16.1 to 1,43.8,92.7,56.3,2021
Pioneer Charter School of Science (District),4940000,      72.4,77.9,  11.0 to 1,33.3,76.1,69.2,2021
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      35.9,77.4,  10.3 to 1,58.5,69.1,64.1,2021
Pioneer Valley,7500000,      60.6,100.0,  10.4 to 1,85.0,95.0,95.4,2021
Pioneer Valley Chinese Immersion Charter (District),4970000,      70.6,79.7,   7.9 to 1,55.8,88.4,72.0,2021
Pioneer Valley Performing Arts Charter Public (District),4790000,      41.3,68.5,   9.5 to 1,57.9,80.6,62.0,2021
Pittsfield,2360000,     486.1,96.5,  10.3 to 1,72.4,89.7,92.5,2021
Plainville,2380000,      44.2,100.0,  14.1 to 1,91.0,100.0,98.0,2021
Plymouth,2390000,     633.7,99.8,  11.2 to 1,86.5,96.2,97.4,2021
Plympton,2400000,      19.3,100.0,  10.8 to 1,87.6,100.0,100.0,2021
Prospect Hill Academy Charter (District),4870000,     109.0,78.5,  10.2 to 1,48.0,94.5,67.8,2021
Provincetown,2420000,      18.2,100.0,   7.3 to 1,89.0,94.5,95.0,2021
Quabbin,7530000,     140.8,100.0,  14.9 to 1,92.1,97.2,95.9,2021
Quaboag Regional,7780000,      95.8,91.7,  12.1 to 1,85.8,92.6,90.4,2021
Quincy,2430000,     737.2,99.3,  12.9 to 1,85.2,94.7,97.8,2021
Ralph C Mahar,7550000,      57.6,94.8,  10.7 to 1,91.3,96.5,91.9,2021
Randolph,2440000,     212.4,100.0,  12.5 to 1,85.6,92.9,96.6,2021
Reading,2460000,     316.0,99.7,  12.5 to 1,86.5,94.9,96.8,2021
Revere,2480000,     561.1,99.5,  12.8 to 1,81.6,95.2,98.4,2021
Richmond,2490000,      19.3,97.2,   7.9 to 1,73.9,94.8,78.3,2021
Rising Tide Charter Public (District),4830000,      60.2,79.7,  11.1 to 1,74.8,71.8,65.2,2021
River Valley Charter (District),4820000,      24.7,79.2,  11.7 to 1,70.5,79.8,53.8,2021
Rochester,2500000,      41.1,100.0,  11.6 to 1,95.1,96.8,97.6,2021
